lambda,video,bpp,psnr
0.001,Beauty_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.001,Bosphorus_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.001,HoneyBee_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.001,Jockey_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.001,ReadySetGo_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.001,ShakeNDry_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.001,YachtRide_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.005,Beauty_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.005,Bosphorus_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.005,HoneyBee_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.005,Jockey_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.005,ReadySetGo_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.005,ShakeNDry_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.005,YachtRide_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.01,Beauty_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.01,Bosphorus_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.01,HoneyBee_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.01,Jockey_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.01,ReadySetGo_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.01,ShakeNDry_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.01,YachtRide_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.05,Beauty_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.05,Bosphorus_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.05,HoneyBee_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.05,Jockey_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.05,ReadySetGo_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.05,ShakeNDry_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.05,YachtRide_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.1,Beauty_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.1,Bosphorus_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.1,HoneyBee_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.1,Jockey_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.1,ReadySetGo_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.1,ShakeNDry_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.1,YachtRide_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.5,Beauty_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.5,Bosphorus_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.5,HoneyBee_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.5,Jockey_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.5,ReadySetGo_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.5,ShakeNDry_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
0.5,YachtRide_1920x1080_120fps_420_8bit_P420.mp4,0.0,0.0
