GMM Lambda Sweep Results
Timestamp: 20260423_041248

λ          bpp             PSNR(dB)    
0.001      -0.821210       32.63       
0.005      -0.821210       32.63       
0.01       -0.821210       32.63       
0.05       -0.821210       32.63       
0.1        -0.821210       32.63       
0.5        -0.821210       32.63       
1.0        -0.821210       32.63       
5.0        -0.821210       32.63       
10.0       -0.821210       32.63       

SUMMARY:
0.001	-0.821210	32.63
0.005	-0.821210	32.63
0.01	-0.821210	32.63
0.05	-0.821210	32.63
0.1	-0.821210	32.63
0.5	-0.821210	32.63
1.0	-0.821210	32.63
5.0	-0.821210	32.63
10.0	-0.821210	32.63
